Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_27_segment_Rt Cerebellar	1: RTSTRUCT: ANON_27_segment_Lt Occipital	1: RTSTRUCT: ANON_27_segment_Rt Mesial Frontal
square	glszm	LargeAreaHighGrayLevelEmphasis	534357.0241187384	8104.533333333334	118.5
square	glszm	LargeAreaLowGrayLevelEmphasis	58.23663685777209	11.297334755815905	0.7168402777777778
square	glszm	LowGrayLevelZoneEmphasis	0.05981508342908189	0.1780356722936088	0.2330902777777778
square	glszm	SizeZoneNonUniformity	144.05751391465677	8.533333333333333	3.75
square	glszm	SizeZoneNonUniformityNormalized	0.2672681148694931	0.28444444444444444	0.46875
square	glszm	SmallAreaEmphasis	0.5282074284843464	0.5346297440245363	0.6900510204081632
square	glszm	SmallAreaHighGrayLevelEmphasis	24.62327417342595	16.67790297624133	6.947066326530612
square	glszm	SmallAreaLowGrayLevelEmphasis	0.03369365031232796	0.10044107761035406	0.198249716553288
square	glszm	ZoneEntropy	5.733777780310855	4.348394345536397	2.749999999999998
square	glszm	ZonePercentage	0.12297513118868356	0.13513513513513514	0.5
square	glszm	ZoneVariance	5451.20528292275	199.84	3.75
square	gldm	DependenceEntropy	6.3122968932677885	5.405217276728121	3.2028195311147796
square	gldm	DependenceNonUniformity	297.6493269450148	24.54954954954955	4.0
square	gldm	DependenceNonUniformityNormalized	0.06790995367214575	0.11058355652950247	0.25
square	gldm	DependenceVariance	40.77464634402233	6.339095852609366	1.859375
square	gldm	GrayLevelNonUniformity	837.8040155144878	39.42342342342342	4.5
square	gldm	GrayLevelVariance	5.300673078409629	3.0900089278467657	1.375
square	gldm	HighGrayLevelEmphasis	75.46566278804472	28.0	13.625
square	gldm	LargeDependenceEmphasis	106.62400182523386	33.36036036036036	7.5
square	gldm	LargeDependenceHighGrayLevelEmphasis	10289.405430070728	1047.063063063063	116.5
square	gldm	LargeDependenceLowGrayLevelEmphasis	1.2731247010225433	1.8534461637090607	0.6262326388888889
square	gldm	LowGrayLevelEmphasis	0.027103718670554323	0.0880247856983968	0.1581076388888889
square	gldm	SmallDependenceEmphasis	0.11433291512239648	0.12741633782308387	0.4210069444444444
square	gldm	SmallDependenceHighGrayLevelEmphasis	5.969185544687797	3.664426898553883	4.642361111111111
square	gldm	SmallDependenceLowGrayLevelEmphasis	0.006111715082305267	0.018331245013678738	0.10645182291666666
square	ngtdm	Busyness	4.444932037055057	0.9072834314083053	0.1766439909297052
square	ngtdm	Coarseness	0.001572423569205226	0.02374674805033963	0.3594351732991014
square	ngtdm	Complexity	76.81348293064144	39.962897977986394	7.489951636904761
square	ngtdm	Contrast	0.07529436855696914	0.10867436744996717	0.12436383928571429
square	ngtdm	Strength	0.11347896531350744	0.6248202854483575	2.5049358341559724
squareroot	firstorder	10Percentile	280.8736749610057	298.1654795254244	295.25988514511334
squareroot	firstorder	90Percentile	347.1168212370882	340.39565849527077	317.32823106400076
squareroot	firstorder	Energy	1707295690.3052096	85727328.32213289	5929302.552795358
squareroot	firstorder	Entropy	1.7989183221909955	1.4312111753529835	0.8112781244591322
squareroot	firstorder	InterquartileRange	30.357630901908465	23.65615805915371	11.655282992696584
squareroot	firstorder	Kurtosis	6.419728805013082	2.4988694669644	2.102068666711857
squareroot	firstorder	Maximum	366.20596664152947	349.22128844971826	320.78157552333585
squareroot	firstorder	MeanAbsoluteDeviation	22.48950530046925	12.627366152485608	7.491763189835012
squareroot	firstorder	Mean	323.3968534875091	321.22261330651065	308.6893291734872
squareroot	firstorder	Median	336.2963660163713	324.6594479518424	311.4555854925486
squareroot	firstorder	Minimum	152.3118747689494	278.38823907657155	291.7346816175979
squareroot	firstorder	Range	213.89409187258008	70.83304937314671	29.04689390573793
squareroot	firstorder	RobustMeanAbsoluteDeviation	13.777996866623118	9.168947231844413	5.29572498381881
squareroot	firstorder	RootMeanSquared	624.1207715371389	621.4170391823708	608.753981136641
squareroot	firstorder	Skewness	-1.8280313125717826	-0.6294631283555545	-0.6565342559941607
squareroot	firstorder	TotalEnergy	1707295690.3052096	85727328.32213289	11380435.544881413
squareroot	firstorder	Uniformity	0.4174164185365762	0.3970051132213294	0.625
squareroot	firstorder	Variance	903.1005259867004	241.60130281377687	78.710100040009
squareroot	glcm	Autocorrelation	56.53131566523861	6.186402437324983	3.299242424242424
squareroot	glcm	JointAverage	7.483355993689173	2.4817133892207712	1.8128787878787878
squareroot	glcm	ClusterProminence	91.09603052796254	2.645604886256843	0.38370638819955116
squareroot	glcm	ClusterShade	-13.004265530239387	-0.5789204168435631	-0.23507298884158384
squareroot	glcm	ClusterTendency	3.4659814737886014	0.9532580604056917	0.32886134067952255
squareroot	glcm	Contrast	1.3456641771876887	0.863636924222278	0.27878787878787875
squareroot	glcm	Correlation	0.4376818097504173	0.02312688701197641	0.07847222222222211
squareroot	glcm	DifferenceAverage	0.6595248999185606	0.6359121476831795	0.27878787878787875
squareroot	glcm	DifferenceEntropy	1.591311561449421	1.3041968918353422	0.8238032397588899
squareroot	glcm	DifferenceVariance	0.9026612225617955	0.4112371539147128	0.19274563820018364
squareroot	glcm	JointEnergy	0.2783687874812504	0.22594918082701698	0.5034297520661157
squareroot	glcm	JointEntropy	3.1393015664309183	2.4425535670863043	1.3142432120271605
squareroot	glcm	Imc1	-0.09890801617983443	-0.12577365181767322	-0.10708402822678559
squareroot	glcm	Imc2	0.5019674929207444	0.47128793946399955	0.3696879094831772
squareroot	glcm	Idm	0.7341703598632219	0.7048164038123199	0.8606060606060606
squareroot	glcm	Idmn	0.9849266992587336	0.9241466818795767	0.9442424242424243
squareroot	glcm	Id	0.755101569189557	0.7199980555815932	0.8606060606060606
squareroot	glcm	Idn	0.9396642402642448	0.85240820190616	0.907070707070707
squareroot	glcm	InverseVariance	0.30507005171127416	0.43665296821146826	0.27878787878787875
squareroot	glcm	MaximumProbability	0.5076897026019848	0.35053065916402676	0.6734848484848485
squareroot	glcm	SumEntropy	2.3040152893746226	1.7850026614003356	1.035455333239282
squareroot	glcm	SumSquares	1.2029114127440725	0.4542237461569925	0.1519123048668503
squareroot	glrlm	GrayLevelNonUniformity	536.7136270040651	54.730316398300104	4.255357142857143
squareroot	glrlm	GrayLevelNonUniformityNormalized	0.2385034020164387	0.3697083569413506	0.5153635204081632
squareroot	glrlm	GrayLevelVariance	2.0085177974442483	0.522077456483401	0.24231823979591838
squareroot	glrlm	HighGrayLevelRunEmphasis	49.76972024833173	5.335531863345635	2.7223214285714286
squareroot	glrlm	LongRunEmphasis	7.928308180487779	4.037489103600508	4.964285714285714
squareroot	glrlm	LongRunHighGrayLevelEmphasis	484.70738319505386	27.672005499913606	17.976785714285715
squareroot	glrlm	LongRunLowGrayLevelEmphasis	0.13972727855336617	0.9267472726397923	1.7111607142857144
squareroot	glrlm	LowGrayLevelRunEmphasis	0.027118954583894427	0.3350116539636706	0.5694196428571429
squareroot	glrlm	RunEntropy	3.8075202576084948	2.595365290756497	1.965873376936489
squareroot	glrlm	RunLengthNonUniformity	1060.9314104923299	80.95401431068102	2.960714285714286
squareroot	glrlm	RunLengthNonUniformityNormalized	0.469179351200601	0.5157422024596952	0.35340561224489797
squareroot	glrlm	RunPercentage	0.5105389704979028	0.6663201663201664	0.515625
squareroot	glrlm	RunVariance	3.9178803911395046	1.201921194010187	1.0181632653061223
squareroot	glrlm	ShortRunEmphasis	0.7095793835431093	0.7310057239650133	0.5387834821428572
squareroot	glrlm	ShortRunHighGrayLevelEmphasis	32.46617562571525	3.434435891405582	1.0281250000000002
squareroot	glrlm	ShortRunLowGrayLevelEmphasis	0.021864958433579385	0.2768071776560118	0.4164481026785714
squareroot	glszm	GrayLevelNonUniformity	42.64372469635627	2.3333333333333335	1.6666666666666667
squareroot	glszm	GrayLevelNonUniformityNormalized	0.17264665868970153	0.3888888888888889	0.5555555555555556
squareroot	glszm	GrayLevelVariance	4.2164926486256125	0.5555555555555556	0.2222222222222222
squareroot	glszm	HighGrayLevelZoneEmphasis	35.931174089068826	3.3333333333333335	2.0
squareroot	glszm	LargeAreaEmphasis	31172.61943319838	3141.0	50.666666666666664
squareroot	glszm	LargeAreaHighGrayLevelEmphasis	1960531.0809716599	22263.333333333332	194.66666666666666
squareroot	glszm	LargeAreaLowGrayLevelEmphasis	498.6112194768821	560.6018518518518	14.666666666666666
squareroot	glszm	LowGrayLevelZoneEmphasis	0.056913685439687944	0.6018518518518519	0.75
squareroot	glszm	SizeZoneNonUniformity	65.08097165991903	1.0	1.6666666666666667
squareroot	glszm	SizeZoneNonUniformityNormalized	0.26348571522234426	0.16666666666666666	0.5555555555555556
squareroot	glszm	SmallAreaEmphasis	0.5157974411457306	0.18695154985141196	0.16898148148148148
squareroot	glszm	SmallAreaHighGrayLevelEmphasis	17.45462637293667	0.687139981745652	0.17592592592592593
squareroot	glszm	SmallAreaLowGrayLevelEmphasis	0.03622674630017543	0.061920028544393886	0.16724537037037038
squareroot	glszm	ZoneEntropy	5.07203738769062	2.5849625007211543	0.9182958340544889
squareroot	glszm	ZonePercentage	0.05635409536846909	0.02702702702702703	0.1875
squareroot	glszm	ZoneVariance	30857.73656345785	1772.0	22.22222222222222
squareroot	gldm	DependenceEntropy	5.536028192387943	4.803423099079195	2.5778195311147805
squareroot	gldm	DependenceNonUniformity	181.86972393337896	15.26126126126126	3.0
squareroot	gldm	DependenceNonUniformityNormalized	0.04149434723554163	0.06874442009577145	0.1875
squareroot	gldm	DependenceVariance	71.36890488415071	27.5254443632822	4.484375
squareroot	gldm	GrayLevelNonUniformity	1829.5361624458133	88.13513513513513	10.0
squareroot	gldm	GrayLevelVariance	1.3921553776650073	0.5071828585342099	0.1875
squareroot	gldm	HighGrayLevelEmphasis	55.736938170203054	6.036036036036036	3.25
squareroot	gldm	LargeDependenceEmphasis	259.77161761350675	121.14414414414415	28.25
squareroot	gldm	LargeDependenceHighGrayLevelEmphasis	16427.39926990646	983.1801801801802	110.0
squareroot	gldm	LargeDependenceLowGrayLevelEmphasis	4.156576511146706	18.462962962962962	7.8125
squareroot	gldm	LowGrayLevelEmphasis	0.021998959631934167	0.28653653653653655	0.4375
squareroot	gldm	SmallDependenceEmphasis	0.055458405101425065	0.03197224089101844	0.0891868720867977
squareroot	gldm	SmallDependenceHighGrayLevelEmphasis	2.113257161038075	0.12023417752247553	0.16924748834719072
squareroot	gldm	SmallDependenceLowGrayLevelEmphasis	0.002897613446069533	0.015112757545657031	0.06917171802169941
squareroot	ngtdm	Busyness	5.4595913187984975	8.42631960386412	0.9225000000000001
squareroot	ngtdm	Coarseness	0.0018657442059887726	0.022251707603639523	0.43360433604336035
squareroot	ngtdm	Complexity	19.57608951952864	1.6445160291876613	0.28828125000000004
squareroot	ngtdm	Contrast	0.019561953420681573	0.09734130339703602	0.059472656250000006
squareroot	ngtdm	Strength	0.11109870925210748	0.060895323853684145	0.3940886699507389
logarithm	firstorder	10Percentile	345.9201881909102	335.5578133448657	318.39509627403163
logarithm	firstorder	90Percentile	373.34537008711806	351.60557836876234	326.5999125174901
logarithm	firstorder	Energy	1930530647.1734204	92203990.44355534	6218432.61025672
logarithm	firstorder	Entropy	0.8223512278136174	0.70913474660915	0.9886994082884969
logarithm	firstorder	InterquartileRange	12.01325492826362	8.957954695325157	4.298875675209501
logarithm	firstorder	Kurtosis	8.783705988396948	2.6275126552724006	2.128306633089895
logarithm	firstorder	Maximum	380.28538261217494	354.70833737310596	327.83213040328377
logarithm	firstorder	MeanAbsoluteDeviation	9.603184145338508	4.833654286774443	2.7876274511518346
logarithm	firstorder	Mean	363.535601161419	344.4359596036312	323.4108776450631
logarithm	firstorder	Median	369.241084262056	345.8695537751097	324.4728740500191
logarithm	firstorder	Minimum	267.1028400701462	327.24942199629857	317.0299636631688
logarithm	firstorder	Range	113.18254254202873	27.458915376807397	10.802166740114956
logarithm	firstorder	RobustMeanAbsoluteDeviation	5.540708237503971	3.4808140630743996	1.9597997696227623
logarithm	firstorder	RootMeanSquared	663.6706545133659	644.463567850259	623.4196324635959
logarithm	firstorder	Skewness	-2.2116441199279984	-0.7110565902042549	-0.685234148140938
logarithm	firstorder	TotalEnergy	1930530647.1734204	92203990.44355534	11935378.719686287
logarithm	firstorder	Uniformity	0.7310732582261886	0.6876471065660255	0.5078125
logarithm	firstorder	Variance	179.24365355384063	35.584256032238756	10.915774857064882
logarithm	glcm	Autocorrelation	24.050757331124185	1.5482842425734018	2.4613636363636364
logarithm	glcm	JointAverage	4.897301154302337	1.2483533318593207	1.5685606060606059
logarithm	glcm	ClusterProminence	3.6923928241494584	0.37480980861873026	0.49186035366183745
logarithm	glcm	ClusterShade	-1.0008748363053452	0.179943866326224	-0.06843887914962249
logarithm	glcm	ClusterTendency	0.5356674690258134	0.3495130645644246	0.49115472910927455
logarithm	glcm	Contrast	0.2670258779153918	0.3935515060091209	0.48863636363636365
logarithm	glcm	Correlation	0.3315765059395049	-0.020977409126287497	0.0027639027639027366
logarithm	glcm	DifferenceAverage	0.21015372296716078	0.3935515060091209	0.48863636363636365
logarithm	glcm	DifferenceEntropy	0.7998476852252919	0.8411978597928258	0.9985075528692384
logarithm	glcm	DifferenceVariance	0.22238342826376187	0.2019497221688504	0.24948347107438015
logarithm	glcm	JointEnergy	0.6275246243902998	0.42651799254437683	0.26062098255280075
logarithm	glcm	JointEntropy	1.4092083630840126	1.4492759169587985	1.9698907035653284
logarithm	glcm	Imc1	-0.09681050763515206	-0.207442656344975	-0.0008475772403660283
logarithm	glcm	Imc2	0.35170138385507455	0.5025962257636577	0.032573551366753835
logarithm	glcm	Idm	0.9005869714725913	0.8032242469954396	0.7556818181818181
logarithm	glcm	Idmn	0.9930684996340212	0.9212896987981758	0.9022727272727272
logarithm	glcm	Id	0.9037110301870298	0.8032242469954396	0.7556818181818181
logarithm	glcm	Idn	0.9709599297977048	0.8688161646636264	0.8371212121212119
logarithm	glcm	InverseVariance	0.16675034122861904	0.3935515060091209	0.48863636363636365
logarithm	glcm	MaximumProbability	0.7877092567971763	0.5548709151361187	0.3242424242424242
logarithm	glcm	SumEntropy	1.1513382039979385	1.0557244109496782	1.4812543399289653
logarithm	glcm	SumSquares	0.20067333673530133	0.18576614264338637	0.24494777318640953
logarithm	glrlm	GrayLevelNonUniformity	560.7151447563758	78.0255556599186	5.8545454545454545
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.4151557850458324	0.6114150428864112	0.558595041322314
logarithm	glrlm	GrayLevelVariance	0.5991956863528561	0.19429247855679438	0.22070247933884296
logarithm	glrlm	HighGrayLevelRunEmphasis	22.041131775109495	1.792602845302182	1.9954545454545456
logarithm	glrlm	LongRunEmphasis	23.52866579101605	7.647848990136699	2.7818181818181817
logarithm	glrlm	LongRunHighGrayLevelEmphasis	582.6157654464231	10.916295782301912	7.254545454545454
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.9628822350026229	6.830737292095394	1.6636363636363636
logarithm	glrlm	LowGrayLevelRunEmphasis	0.05318179256042071	0.8018492886744545	0.7511363636363636
logarithm	glrlm	RunEntropy	3.8442466026290605	2.322309860434031	1.7279431981295856
logarithm	glrlm	RunLengthNonUniformity	342.73824324206805	61.30316058314754	5.272727272727273
logarithm	glrlm	RunLengthNonUniformityNormalized	0.2536754862945061	0.4204972481145787	0.5020661157024794
logarithm	glrlm	RunPercentage	0.30423489355727545	0.5758835758835759	0.65625
logarithm	glrlm	RunVariance	11.610917174319367	1.9825483705228009	0.4439669421487603
logarithm	glrlm	ShortRunEmphasis	0.5127700035829699	0.6160585759539292	0.6656565656565656
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	10.304114046529007	1.261095541032849	1.0417929292929293
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.03227667159262466	0.4547993346841991	0.5716224747474747
logarithm	glszm	GrayLevelNonUniformity	34.067796610169495	1.6666666666666667	1.0
logarithm	glszm	GrayLevelNonUniformityNormalized	0.28871014076414825	0.5555555555555556	0.5
logarithm	glszm	GrayLevelVariance	1.849755817293881	0.2222222222222222	0.25
logarithm	glszm	HighGrayLevelZoneEmphasis	19.661016949152543	3.0	2.5
logarithm	glszm	LargeAreaEmphasis	117828.19491525424	11268.666666666666	65.0
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	2940123.966101695	13033.666666666666	138.5
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	4727.731424199624	10827.416666666666	46.625
logarithm	glszm	LowGrayLevelZoneEmphasis	0.08420197740112995	0.5	0.625
logarithm	glszm	SizeZoneNonUniformity	31.76271186440678	1.0	1.0
logarithm	glszm	SizeZoneNonUniformityNormalized	0.2691755242746337	0.3333333333333333	0.5
logarithm	glszm	SmallAreaEmphasis	0.5067258068732142	0.3335327011454028	0.016376921138825898
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	9.405255084419876	1.3340995945694392	0.04698916603678508
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.04909240839544228	0.08339097778939365	0.008723859914336104
logarithm	glszm	ZoneEntropy	4.130803660741556	1.5849625007211552	0.9999999999999993
logarithm	glszm	ZonePercentage	0.026922199406798995	0.013513513513513514	0.125
logarithm	glszm	ZoneVariance	116448.51314277505	5792.666666666666	1.0
logarithm	gldm	DependenceEntropy	4.571842068609952	4.235550427743892	2.2246017527145794
logarithm	gldm	DependenceNonUniformity	305.03650467716176	16.117117117117118	4.25
logarithm	gldm	DependenceNonUniformityNormalized	0.06959536953619935	0.07259962665368071	0.265625
logarithm	gldm	DependenceVariance	58.06492864467276	20.972242512783055	1.8125
logarithm	gldm	GrayLevelNonUniformity	3204.2940908053843	152.65765765765767	8.125
logarithm	gldm	GrayLevelVariance	0.23554303544240396	0.15617644671698724	0.24609375
logarithm	gldm	HighGrayLevelEmphasis	23.914214008669862	1.5810810810810811	2.3125
logarithm	gldm	LargeDependenceEmphasis	422.4889345197353	165.6216216216216	15.875
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	10515.100159707963	191.93243243243242	50.1875
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	17.040261426724467	159.0439189189189	7.296875
logarithm	gldm	LowGrayLevelEmphasis	0.04456999264836362	0.8547297297297297	0.671875
logarithm	gldm	SmallDependenceEmphasis	0.024410697163829844	0.01651148303054209	0.09959148242630385
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	0.47599422712597284	0.04748728025633931	0.1587825963718821
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.002009904760467918	0.008767533724092783	0.08479370393990929
logarithm	ngtdm	Busyness	6.555483805997715	47.052066322880464	6.707499999999999
logarithm	ngtdm	Coarseness	0.003395497075132119	0.025366545624296542	0.2385389489377563
logarithm	ngtdm	Complexity	3.1487845404337955	0.3551531667906731	0.5240234374999999
logarithm	ngtdm	Contrast	0.002932639808765511	0.05174016464323185	0.124969482421875
logarithm	ngtdm	Strength	0.07356858896380121	0.027193477739588197	0.24615384615384617
gradient	firstorder	10Percentile	7.1674881935119625	10.78355016708374	10.405339241027832
gradient	firstorder	90Percentile	89.22850494384768	72.6873260498047	64.83292198181152
gradient	firstorder	Energy	525974076.9711993	26628249.891160954	1845020.2502831602
gradient	firstorder	Entropy	2.190451394885702	1.7547688703209265	1.5794340029249643
gradient	firstorder	InterquartileRange	51.71333122253418	25.77211284637451	36.1135368347168
gradient	firstorder	Kurtosis	4.175644885523901	2.551354574626796	1.662935900721214
gradient	firstorder	Maximum	276.3951416015625	92.0041275024414	68.95511627197266
gradient	firstorder	MeanAbsoluteDeviation	27.295741421802482	16.424779757403794	18.37522730231285
gradient	firstorder	Mean	44.84149632004062	45.712955326647375	38.95681491494179
gradient	firstorder	Median	39.544315338134766	47.616010665893555	39.95857810974121
gradient	firstorder	Minimum	0.4398299753665924	4.616151332855225	6.155090808868408
gradient	firstorder	Range	275.9553116261959	87.38797616958618	62.80002546310425
gradient	firstorder	RobustMeanAbsoluteDeviation	20.836531716245666	11.244522053348133	14.492548624674479
gradient	firstorder	RootMeanSquared	346.4147972020776	346.33375749673337	339.57880623310035
gradient	firstorder	Skewness	0.8742314638876639	-0.15753587331756427	-0.13936484071374092
gradient	firstorder	TotalEnergy	525974076.9711993	26628249.891160954	3541248.5448983237
gradient	firstorder	Uniformity	0.24929397378719734	0.32728674620566517	0.3359375
gradient	firstorder	Variance	1087.5541363119496	429.6241011216165	422.0432654154213
gradient	glcm	Autocorrelation	5.541367690009057	4.730378927198338	3.4469696969696972
gradient	glcm	JointAverage	2.189823813300661	2.158639822329022	1.8503787878787878
gradient	glcm	ClusterProminence	81.77950804034502	6.741820470837008	4.6851505717708
gradient	glcm	ClusterShade	8.702694914991984	0.560693756378636	0.4773980855385814
gradient	glcm	ClusterTendency	4.651251931061486	1.5191943753847559	1.4195431588613407
gradient	glcm	Contrast	1.6720123834347713	1.2514655583529164	1.331060606060606
gradient	glcm	Correlation	0.4695573773196789	0.09879614033188312	0.03321433907493966
gradient	glcm	DifferenceAverage	0.872639461826606	0.8272942976447134	0.8651515151515152
gradient	glcm	DifferenceEntropy	1.7683135050638243	1.471858787534808	1.514226852421611
gradient	glcm	DifferenceVariance	0.8995627405651246	0.5091800364192071	0.5627180899908173
gradient	glcm	JointEnergy	0.10208037406067447	0.12760523054776804	0.14581869834710748
gradient	glcm	JointEntropy	3.993561377931238	3.2783380594147604	2.8783584056924734
gradient	glcm	Imc1	-0.10115046651738664	-0.11886963730937906	-0.14490413155075954
gradient	glcm	Imc2	0.5689418445854076	0.5460581913650878	0.5459113731892156
gradient	glcm	Idm	0.6401182931206996	0.6287699772484635	0.6140151515151515
gradient	glcm	Idmn	0.9889319703930889	0.935134048380879	0.8883974358974358
gradient	glcm	Id	0.669932630962825	0.6520728292087787	0.6450757575757576
gradient	glcm	Idn	0.9369909970227938	0.8481115845418756	0.8070075757575756
gradient	glcm	InverseVariance	0.40362242197378584	0.503132747567962	0.4574810606060606
gradient	glcm	MaximumProbability	0.25403425131790186	0.2123863304026397	0.20795454545454545
gradient	glcm	SumEntropy	2.8682750346277905	2.1938149668574622	2.0135374819244323
gradient	glcm	SumSquares	1.5808160786240641	0.6926649834344178	0.6876509412304868
gradient	glrlm	GrayLevelNonUniformity	620.6496285380015	52.135672857720515	4.265692640692641
gradient	glrlm	GrayLevelNonUniformityNormalized	0.22237447097719448	0.32051351942645745	0.3569396422480838
gradient	glrlm	GrayLevelVariance	1.7325921177664112	0.7244904513672586	0.6249461216993684
gradient	glrlm	HighGrayLevelRunEmphasis	8.754624840243059	6.527969662043757	5.3609307359307365
gradient	glrlm	LongRunEmphasis	3.9110461148385887	2.8614021218283536	2.1298701298701297
gradient	glrlm	LongRunHighGrayLevelEmphasis	18.786478667677073	15.27338885721281	9.447781385281386
gradient	glrlm	LongRunLowGrayLevelEmphasis	2.480559817949456	1.0194929203569103	1.048348063973064
gradient	glrlm	LowGrayLevelRunEmphasis	0.3300051664953107	0.29761901198126833	0.37723965848965846
gradient	glrlm	RunEntropy	3.6110552600233117	2.728327737967405	2.192942125330599
gradient	glrlm	RunLengthNonUniformity	1450.542224491085	105.11498816336031	7.264069264069264
gradient	glrlm	RunLengthNonUniformityNormalized	0.5160002406457151	0.6079595241988659	0.5962594404152846
gradient	glrlm	RunPercentage	0.636725811263799	0.7411642411642412	0.75
gradient	glrlm	RunVariance	1.3903598458980666	0.7166033200795507	0.301043833511366
gradient	glrlm	ShortRunEmphasis	0.745294687652928	0.795145111438348	0.7680375180375181
gradient	glrlm	ShortRunHighGrayLevelEmphasis	7.363374433811329	5.371885346012558	4.4654806998557
gradient	glrlm	ShortRunLowGrayLevelEmphasis	0.1897221897989572	0.2403933374047043	0.2410282136844637
gradient	glszm	GrayLevelNonUniformity	19.177419354838708	3.5	1.8
gradient	glszm	GrayLevelNonUniformityNormalized	0.15465660770031217	0.4375	0.36
gradient	glszm	GrayLevelVariance	4.3126951092611865	1.1875	0.56
gradient	glszm	HighGrayLevelZoneEmphasis	21.629032258064516	11.75	5.4
gradient	glszm	LargeAreaEmphasis	35433.08870967742	1993.5	12.0
gradient	glszm	LargeAreaHighGrayLevelEmphasis	135268.23387096773	11304.625	51.0
gradient	glszm	LargeAreaLowGrayLevelEmphasis	22137.3768823211	515.2065972222222	6.25
gradient	glszm	LowGrayLevelZoneEmphasis	0.1908904938170011	0.2092013888888889	0.34444444444444444
gradient	glszm	SizeZoneNonUniformity	34.645161290322584	1.25	1.4
gradient	glszm	SizeZoneNonUniformityNormalized	0.2793964620187305	0.15625	0.28
gradient	glszm	SmallAreaEmphasis	0.5364229852913048	0.19799550637660346	0.2649444444444445
gradient	glszm	SmallAreaHighGrayLevelEmphasis	12.167829646144684	3.1661603326189742	1.258
gradient	glszm	SmallAreaLowGrayLevelEmphasis	0.12608668066165826	0.012468876312070633	0.06606327160493827
gradient	glszm	ZoneEntropy	5.016922163678986	2.749999999999998	1.9219280948873614
gradient	glszm	ZonePercentage	0.028291124800365046	0.036036036036036036	0.3125
gradient	glszm	ZoneVariance	34183.69426378772	1223.4375	1.76
gradient	gldm	DependenceEntropy	6.02118304649467	4.918795880000507	2.9999999999999964
gradient	gldm	DependenceNonUniformity	233.6255989048597	19.2972972972973	4.0
gradient	gldm	DependenceNonUniformityNormalized	0.053302669154656555	0.08692476260043827	0.25
gradient	gldm	DependenceVariance	39.55385660555954	13.34136839542245	1.25
gradient	gldm	GrayLevelNonUniformity	1092.6554871092858	72.65765765765765	5.375
gradient	gldm	GrayLevelVariance	1.7162180908763867	0.6891688986283581	0.68359375
gradient	gldm	HighGrayLevelEmphasis	7.111795573807894	6.112612612612613	4.9375
gradient	gldm	LargeDependenceEmphasis	148.65457449235683	73.09009009009009	10.25
gradient	gldm	LargeDependenceHighGrayLevelEmphasis	426.3757700205339	347.47297297297297	34.5625
gradient	gldm	LargeDependenceLowGrayLevelEmphasis	117.75601229633614	23.143643643643642	6.532986111111111
gradient	gldm	LowGrayLevelEmphasis	0.450608272354243	0.30993493493493496	0.4322916666666667
gradient	gldm	SmallDependenceEmphasis	0.04145163317741479	0.04023221861917021	0.19206597222222221
gradient	gldm	SmallDependenceHighGrayLevelEmphasis	0.63829975279567	0.37037333523562577	1.0909375
gradient	gldm	SmallDependenceLowGrayLevelEmphasis	0.009238362177713087	0.009236377105960022	0.05222463348765432
gradient	ngtdm	Busyness	20.478055959452544	5.701170969330414	1.2541208791208793
gradient	ngtdm	Coarseness	0.0015929414784189794	0.027538450481795734	0.24534501642935375
gradient	ngtdm	Complexity	51.352084701529975	3.230198618787058	2.196590909090909
gradient	ngtdm	Contrast	0.02031640360294872	0.07149789116428772	0.167236328125
gradient	ngtdm	Strength	0.20742845445318947	0.11395848376761318	0.6919099756690997
log-sigma-1-0-mm-3D	firstorder	10Percentile	-41.45342330932617	-57.9957820892334	-76.98628234863281
log-sigma-1-0-mm-3D	firstorder	90Percentile	17.503849029541023	-0.7965520858764605	-26.217248916625977
log-sigma-1-0-mm-3D	firstorder	Energy	360975982.6319332	15852982.213922378	985645.7721976758
log-sigma-1-0-mm-3D	firstorder	Entropy	2.024695716211951	1.739070406240317	1.8496017527145803
log-sigma-1-0-mm-3D	firstorder	InterquartileRange	26.401787519454956	25.15761089324951	24.539093017578125
log-sigma-1-0-mm-3D	firstorder	Kurtosis	5.783759578937984	2.413390522454824	2.097623689396605
log-sigma-1-0-mm-3D	firstorder	Maximum	118.92631530761719	14.867318153381348	-16.86446762084961
log-sigma-1-0-mm-3D	firstorder	MeanAbsoluteDeviation	18.570837296976187	16.04002697277588	15.858317017555237
log-sigma-1-0-mm-3D	firstorder	Mean	-14.192708528166952	-33.51584521392444	-52.52353572845459
log-sigma-1-0-mm-3D	firstorder	Median	-16.78990364074707	-35.95735549926758	-55.766679763793945
