Image type	Feature Class	Feature Name	1: RTSTRUCT: ANON_segment_R atrium	1: RTSTRUCT: ANON_segment_L temporal
logarithm	firstorder	Range	484.1191175	57.02642711
logarithm	firstorder	RobustMeanAbsoluteDeviation	8.255290003	3.43892064
logarithm	firstorder	RootMeanSquared	608.5779346	572.1722073
logarithm	firstorder	Skewness	-3.863395626	-1.089784451
logarithm	firstorder	TotalEnergy	4292554717	71369065.59
logarithm	firstorder	Uniformity	0.489953673	0.49915832
logarithm	firstorder	Variance	445.5006715	60.36032671
logarithm	glcm	Autocorrelation	353.9389988	5.927301604
logarithm	glcm	JointAverage	18.80154334	2.427480912
logarithm	glcm	ClusterProminence	96.32494808	0.808276747
logarithm	glcm	ClusterShade	-7.547689665	0.010105404
logarithm	glcm	ClusterTendency	2.27545954	0.610459162
logarithm	glcm	Contrast	0.511612636	0.472739182
logarithm	glcm	Correlation	0.632499079	0.12729248
logarithm	glcm	DifferenceAverage	0.366700535	0.457289255
logarithm	glcm	DifferenceEntropy	1.087804936	1.022196084
logarithm	glcm	DifferenceVariance	0.374588442	0.255567327
logarithm	glcm	JointEnergy	0.324206421	0.254407923
logarithm	glcm	JointEntropy	2.628564716	2.110667786
logarithm	glcm	Imc1	-0.232381448	-0.04310431
logarithm	glcm	Imc2	0.69890948	0.2490799
logarithm	glcm	Idm	0.827761254	0.772900365
logarithm	glcm	Idmn	0.998771736	0.953439155
logarithm	glcm	Id	0.832528113	0.77393036
logarithm	glcm	Idn	0.982810626	0.886450183
logarithm	glcm	InverseVariance	0.294751816	0.443770569
logarithm	glcm	MaximumProbability	0.55092089	0.327546405
logarithm	glcm	SumEntropy	2.166010103	1.614024848
logarithm	glcm	SumSquares	0.696768044	0.270799586
logarithm	glrlm	GrayLevelNonUniformity	1345.512606	66.24192861
logarithm	glrlm	GrayLevelNonUniformityNormalized	0.30314689	0.489892702
logarithm	glrlm	GrayLevelVariance	1.299094546	0.296645352
logarithm	glrlm	HighGrayLevelRunEmphasis	346.4638487	5.731418072
logarithm	glrlm	LongRunEmphasis	14.051053	3.81918189
logarithm	glrlm	LongRunHighGrayLevelEmphasis	5031.642524	22.66805391
logarithm	glrlm	LongRunLowGrayLevelEmphasis	0.039684995	0.775766654
logarithm	glrlm	LowGrayLevelRunEmphasis	0.003235439	0.22717871
logarithm	glrlm	RunEntropy	4.217851869	2.601292308
logarithm	glrlm	RunLengthNonUniformity	1301.866435	60.51348143
logarithm	glrlm	RunLengthNonUniformityNormalized	0.289814002	0.431257687
logarithm	glrlm	RunPercentage	0.38190748	0.619618913
logarithm	glrlm	RunVariance	6.868299995	0.873865999
logarithm	glrlm	ShortRunEmphasis	0.549016476	0.654235216
logarithm	glrlm	ShortRunHighGrayLevelEmphasis	186.2667605	3.630684146
logarithm	glrlm	ShortRunLowGrayLevelEmphasis	0.001956276	0.160419889
logarithm	glszm	GrayLevelNonUniformity	25.28358209	3
logarithm	glszm	GrayLevelNonUniformityNormalized	0.188683448	0.5
logarithm	glszm	GrayLevelVariance	8.847627534	0.583333333
logarithm	glszm	HighGrayLevelZoneEmphasis	293.2985075	2.833333333
logarithm	glszm	LargeAreaEmphasis	483999.2836	3950.666667
logarithm	glszm	LargeAreaHighGrayLevelEmphasis	174425182.4	21679.16667
logarithm	glszm	LargeAreaLowGrayLevelEmphasis	1344.220641	825.2083333
logarithm	glszm	LowGrayLevelZoneEmphasis	0.013620489	0.726851852
logarithm	glszm	SizeZoneNonUniformity	39.76119403	2
logarithm	glszm	SizeZoneNonUniformityNormalized	0.296725329	0.333333333
logarithm	glszm	SmallAreaEmphasis	0.562983473	0.541700303
logarithm	glszm	SmallAreaHighGrayLevelEmphasis	159.144442	0.541919313
logarithm	glszm	SmallAreaLowGrayLevelEmphasis	0.012148771	0.541671795
logarithm	glszm	ZoneEntropy	4.981410421	1.79248125
logarithm	glszm	ZonePercentage	0.011561691	0.027522936
logarithm	glszm	ZoneVariance	476518.3246	2630.555556
logarithm	gldm	DependenceEntropy	5.620690278	4.731237961
logarithm	gldm	DependenceNonUniformity	518.2503883	18.27522936
logarithm	gldm	DependenceNonUniformityNormalized	0.044715305	0.083831327
logarithm	gldm	DependenceVariance	48.95086705	13.72182476
logarithm	gldm	GrayLevelNonUniformity	5678.563072	108.8165138
logarithm	gldm	GrayLevelVariance	0.743799406	0.27693376
logarithm	gldm	HighGrayLevelEmphasis	353.4218292	5.857798165
logarithm	gldm	LargeDependenceEmphasis	340.3496117	132.3119266
logarithm	gldm	LargeDependenceHighGrayLevelEmphasis	122147.314	805.9311927
logarithm	gldm	LargeDependenceLowGrayLevelEmphasis	0.95138385	25.4259684
logarithm	gldm	LowGrayLevelEmphasis	0.002969231	0.213685015
logarithm	gldm	SmallDependenceEmphasis	0.016001889	0.028751402
logarithm	gldm	SmallDependenceHighGrayLevelEmphasis	5.000942082	0.088541124
logarithm	gldm	SmallDependenceLowGrayLevelEmphasis	0.000169515	0.018626339
logarithm	ngtdm	Busyness	2.34397028	9.068921874
logarithm	ngtdm	Coarseness	0.00096291	0.023753101
logarithm	ngtdm	Complexity	51.60557113	1.491441604
logarithm	ngtdm	Contrast	0.002360372	0.038615653
logarithm	ngtdm	Strength	0.671799388	0.070723475
gradient	firstorder	10Percentile	11.25978699	10.18112068
gradient	firstorder	90Percentile	74.76649323	51.5196701
gradient	firstorder	Energy	1342768333	23412248.49
gradient	firstorder	Entropy	1.975476357	1.419302357
gradient	firstorder	InterquartileRange	36.34261274	21.50498366
gradient	firstorder	Kurtosis	4.678364156	5.603361503
gradient	firstorder	Maximum	172.819519	98.87872314
gradient	firstorder	MeanAbsoluteDeviation	21.09054136	14.0895795
gradient	firstorder	Mean	39.33258743	27.14939499
gradient	firstorder	Median	33.50542641	21.9431982
gradient	firstorder	Minimum	0.717840135	2.781167269
gradient	firstorder	Range	172.1016789	96.09755588
gradient	firstorder	RobustMeanAbsoluteDeviation	14.96294746	8.191167123
gradient	firstorder	RootMeanSquared	340.3759193	327.7127328
gradient	firstorder	Skewness	1.176174285	1.645745613
gradient	firstorder	TotalEnergy	1342768333	23412248.49
gradient	firstorder	Uniformity	0.292987871	0.4589681
gradient	firstorder	Variance	709.1615192	368.9086243
gradient	glcm	Autocorrelation	4.621367311	2.36530749
gradient	glcm	JointAverage	2.008605793	1.443189736
gradient	glcm	ClusterProminence	52.56851015	17.85364805
gradient	glcm	ClusterShade	6.98180557	4.050374809
gradient	glcm	ClusterTendency	3.487740298	1.715959086
gradient	glcm	Contrast	1.140854838	0.591394331
gradient	glcm	Correlation	0.506182778	0.478683058
gradient	glcm	DifferenceAverage	0.701317121	0.42096472
gradient	glcm	DifferenceEntropy	1.548915013	1.18212326
gradient	glcm	DifferenceVariance	0.642674194	0.40836913
gradient	glcm	JointEnergy	0.120815402	0.338207212
gradient	glcm	JointEntropy	3.641759275	2.300889943
gradient	glcm	Imc1	-0.116366086	-0.160704093
gradient	glcm	Imc2	0.588212843	0.554548541
gradient	glcm	Idm	0.691671458	0.806560601
gradient	glcm	Idmn	0.978892432	0.969052747
gradient	glcm	Id	0.709839374	0.814644299
gradient	glcm	Idn	0.917967812	0.921113383
gradient	glcm	InverseVariance	0.425901499	0.302800306
gradient	glcm	MaximumProbability	0.252774115	0.546696296
gradient	glcm	SumEntropy	2.687700739	1.830207917
gradient	glcm	SumSquares	1.157148784	0.576838354
gradient	glrlm	GrayLevelNonUniformity	1764.941165	42.39463105
gradient	glrlm	GrayLevelNonUniformityNormalized	0.26644239	0.349392247
gradient	glrlm	GrayLevelVariance	1.326243496	0.883655659
gradient	glrlm	HighGrayLevelRunEmphasis	6.791103365	4.268045984
gradient	glrlm	LongRunEmphasis	5.115477975	5.006901749
gradient	glrlm	LongRunHighGrayLevelEmphasis	19.21395573	10.84704396
gradient	glrlm	LongRunLowGrayLevelEmphasis	3.307550715	4.121032554
gradient	glrlm	LowGrayLevelRunEmphasis	0.37738896	0.551983242
gradient	glrlm	RunEntropy	3.69910956	3.071166233
gradient	glrlm	RunLengthNonUniformity	2942.508627	49.83721037
gradient	glrlm	RunLengthNonUniformityNormalized	0.441589401	0.403207745
gradient	glrlm	RunPercentage	0.571493993	0.554340155
gradient	glrlm	RunVariance	1.999398043	1.505126473
gradient	glrlm	ShortRunEmphasis	0.688208731	0.647895019
gradient	glrlm	ShortRunHighGrayLevelEmphasis	5.343318984	3.483191593
gradient	glrlm	ShortRunLowGrayLevelEmphasis	0.214553387	0.265490757
gradient	glszm	GrayLevelNonUniformity	22.27272727	2.25
gradient	glszm	GrayLevelNonUniformityNormalized	0.184072126	0.28125
gradient	glszm	GrayLevelVariance	3.314937504	0.9375
gradient	glszm	HighGrayLevelZoneEmphasis	16.71900826	8.5
gradient	glszm	LargeAreaEmphasis	296239.3058	2695.5
gradient	glszm	LargeAreaHighGrayLevelEmphasis	1045002.967	4158.75
gradient	glszm	LargeAreaLowGrayLevelEmphasis	165151.3912	2378.372396
gradient	glszm	LowGrayLevelZoneEmphasis	0.283863355	0.244791667
gradient	glszm	SizeZoneNonUniformity	31.66115702	1.25
gradient	glszm	SizeZoneNonUniformityNormalized	0.261662455	0.15625
gradient	glszm	SmallAreaEmphasis	0.523547747	0.291902428
gradient	glszm	SmallAreaHighGrayLevelEmphasis	6.946617773	2.067357656
gradient	glszm	SmallAreaLowGrayLevelEmphasis	0.186694558	0.049351556
gradient	glszm	ZoneEntropy	4.841950214	3
gradient	glszm	ZonePercentage	0.010440035	0.036697248
gradient	glszm	ZoneVariance	287064.5158	1952.9375
gradient	gldm	DependenceEntropy	6.008727839	5.201979219
gradient	gldm	DependenceNonUniformity	572.5575496	9.963302752
gradient	gldm	DependenceNonUniformityNormalized	0.049400997	0.045703224
gradient	gldm	DependenceVariance	36.56074793	49.39836714
gradient	gldm	GrayLevelNonUniformity	3395.729422	100.0550459
gradient	gldm	GrayLevelVariance	1.212436125	0.723508122
gradient	gldm	HighGrayLevelEmphasis	5.470836928	3.155963303
gradient	gldm	LargeDependenceEmphasis	183.9684211	207.8348624
gradient	gldm	LargeDependenceHighGrayLevelEmphasis	517.8366695	279.3853211
gradient	gldm	LargeDependenceLowGrayLevelEmphasis	134.1257579	195.2847541
gradient	gldm	LowGrayLevelEmphasis	0.484198115	0.694985984
gradient	gldm	SmallDependenceEmphasis	0.02261954	0.030892762
gradient	gldm	SmallDependenceHighGrayLevelEmphasis	0.245942773	0.214223812
gradient	gldm	SmallDependenceLowGrayLevelEmphasis	0.006913492	0.008402777
gradient	ngtdm	Busyness	117.978159	8.405820002
gradient	ngtdm	Coarseness	0.000645118	0.03704916
gradient	ngtdm	Complexity	13.76432092	2.345983381
gradient	ngtdm	Contrast	0.030344187	0.044448242
gradient	ngtdm	Strength	0.020597739	0.284513329
log-sigma-1-0-mm-3D	firstorder	10Percentile	-35.1097641	-26.96943645
log-sigma-1-0-mm-3D	firstorder	90Percentile	25.31352501	3.329011488
log-sigma-1-0-mm-3D	firstorder	Energy	996471411.3	18108258.44
log-sigma-1-0-mm-3D	firstorder	Entropy	2.04094042	1.203712152
log-sigma-1-0-mm-3D	firstorder	InterquartileRange	27.76358449	14.8541857
log-sigma-1-0-mm-3D	firstorder	Kurtosis	3.865889791	5.305170905
log-sigma-1-0-mm-3D	firstorder	Maximum	93.83547974	29.13055038
log-sigma-1-0-mm-3D	firstorder	MeanAbsoluteDeviation	18.56117828	9.81350713
log-sigma-1-0-mm-3D	firstorder	Mean	-7.811090435	-12.10368765
log-sigma-1-0-mm-3D	firstorder	Median	-10.08066988	-11.49043512
log-sigma-1-0-mm-3D	firstorder	Minimum	-110.8649597	-62.4128418
log-sigma-1-0-mm-3D	firstorder	Range	204.7004395	91.54339218
log-sigma-1-0-mm-3D	firstorder	RobustMeanAbsoluteDeviation	11.94761598	6.159424895
log-sigma-1-0-mm-3D	firstorder	RootMeanSquared	293.2180517	288.2106967
log-sigma-1-0-mm-3D	firstorder	Skewness	0.444840683	-0.637866657
log-sigma-1-0-mm-3D	firstorder	TotalEnergy	996471411.3	18108258.44
log-sigma-1-0-mm-3D	firstorder	Uniformity	0.30727882	0.578528743
log-sigma-1-0-mm-3D	firstorder	Variance	602.4669477	181.1190444
log-sigma-1-0-mm-3D	glcm	Autocorrelation	27.39406581	8.795116196
log-sigma-1-0-mm-3D	glcm	JointAverage	5.176758627	2.953920577
log-sigma-1-0-mm-3D	glcm	ClusterProminence	43.13682132	3.444625194
log-sigma-1-0-mm-3D	glcm	ClusterShade	3.081368782	-0.551580138
log-sigma-1-0-mm-3D	glcm	ClusterTendency	3.332028936	0.752046918
log-sigma-1-0-mm-3D	glcm	Contrast	0.951282596	0.475905226
log-sigma-1-0-mm-3D	glcm	Correlation	0.556144953	0.22267389
log-sigma-1-0-mm-3D	glcm	DifferenceAverage	0.644875873	0.38855275
log-sigma-1-0-mm-3D	glcm	DifferenceEntropy	1.444145412	1.097660207
log-sigma-1-0-mm-3D	glcm	DifferenceVariance	0.526083555	0.319057676
log-sigma-1-0-mm-3D	glcm	JointEnergy	0.126608506	0.398871237
log-sigma-1-0-mm-3D	glcm	JointEntropy	3.788214957	2.134475105
log-sigma-1-0-mm-3D	glcm	Imc1	-0.14788697	-0.090798943
log-sigma-1-0-mm-3D	glcm	Imc2	0.6548422	0.393754553
log-sigma-1-0-mm-3D	glcm	Idm	0.707639062	0.814458873
log-sigma-1-0-mm-3D	glcm	Idmn	0.988811465	0.982490266
log-sigma-1-0-mm-3D	glcm	Id	0.721759863	0.819546516
log-sigma-1-0-mm-3D	glcm	Idn	0.938163478	0.937268468
log-sigma-1-0-mm-3D	glcm	InverseVariance	0.437708271	0.319069072
log-sigma-1-0-mm-3D	glcm	MaximumProbability	0.293648865	0.611629728
log-sigma-1-0-mm-3D	glcm	SumEntropy	2.831130834	1.639867419
log-sigma-1-0-mm-3D	glcm	SumSquares	1.070827883	0.306988036
log-sigma-1-0-mm-3D	glrlm	GrayLevelNonUniformity	1642.706922	50.10014982
log-sigma-1-0-mm-3D	glrlm	GrayLevelNonUniformityNormalized	0.252809591	0.412354855
log-sigma-1-0-mm-3D	glrlm	GrayLevelVariance	1.303675705	0.573069541
log-sigma-1-0-mm-3D	glrlm	HighGrayLevelRunEmphasis	28.81292089	9.413664518
log-sigma-1-0-mm-3D	glrlm	LongRunEmphasis	5.322656021	5.167664646
log-sigma-1-0-mm-3D	glrlm	LongRunHighGrayLevelEmphasis	143.0216691	46.81132347
log-sigma-1-0-mm-3D	glrlm	LongRunLowGrayLevelEmphasis	0.220960678	0.65720644
log-sigma-1-0-mm-3D	glrlm	LowGrayLevelRunEmphasis	0.042933501	0.162378286
log-sigma-1-0-mm-3D	glrlm	RunEntropy	3.896566267	3.015198264
log-sigma-1-0-mm-3D	glrlm	RunLengthNonUniformity	2790.411376	49.15648443
log-sigma-1-0-mm-3D	glrlm	RunLengthNonUniformityNormalized	0.424425424	0.395791123
log-sigma-1-0-mm-3D	glrlm	RunPercentage	0.560396894	0.553634439
log-sigma-1-0-mm-3D	glrlm	RunVariance	2.03334414	1.530200155
log-sigma-1-0-mm-3D	glrlm	ShortRunEmphasis	0.671624914	0.639076919
log-sigma-1-0-mm-3D	glrlm	ShortRunHighGrayLevelEmphasis	19.80283599	6.153293134
log-sigma-1-0-mm-3D	glrlm	ShortRunLowGrayLevelEmphasis	0.029011447	0.117429449
log-sigma-1-0-mm-3D	glszm	GrayLevelNonUniformity	28.30434783	3.363636364
log-sigma-1-0-mm-3D	glszm	GrayLevelNonUniformityNormalized	0.175803403	0.305785124
log-sigma-1-0-mm-3D	glszm	GrayLevelVariance	3.920064812	1.421487603
log-sigma-1-0-mm-3D	glszm	HighGrayLevelZoneEmphasis	37.86335404	11.54545455
log-sigma-1-0-mm-3D	glszm	LargeAreaEmphasis	241404.1366	2428.545455
log-sigma-1-0-mm-3D	glszm	LargeAreaHighGrayLevelEmphasis	6248737.857	21874.27273
log-sigma-1-0-mm-3D	glszm	LargeAreaLowGrayLevelEmphasis	9730.500412	274.4752273
log-sigma-1-0-mm-3D	glszm	LowGrayLevelZoneEmphasis	0.057601364	0.201237374
log-sigma-1-0-mm-3D	glszm	SizeZoneNonUniformity	26.18012422	1.545454545
log-sigma-1-0-mm-3D	glszm	SizeZoneNonUniformityNormalized	0.162609467	0.140495868
log-sigma-1-0-mm-3D	glszm	SmallAreaEmphasis	0.405030927	0.215780514
log-sigma-1-0-mm-3D	glszm	SmallAreaHighGrayLevelEmphasis	15.43655624	4.074796764
log-sigma-1-0-mm-3D	glszm	SmallAreaLowGrayLevelEmphasis	0.02611495	0.016276705
log-sigma-1-0-mm-3D	glszm	ZoneEntropy	5.544247623	3.459431619
log-sigma-1-0-mm-3D	glszm	ZonePercentage	0.013891286	0.050458716
log-sigma-1-0-mm-3D	glszm	ZoneVariance	236221.9253	2035.785124
log-sigma-1-0-mm-3D	gldm	DependenceEntropy	6.235716527	4.910771845
log-sigma-1-0-mm-3D	gldm	DependenceNonUniformity	564.1594478	10.34862385
log-sigma-1-0-mm-3D	gldm	DependenceNonUniformityNormalized	0.048676398	0.047470752
log-sigma-1-0-mm-3D	gldm	DependenceVariance	34.07956772	46.39483208
log-sigma-1-0-mm-3D	gldm	GrayLevelNonUniformity	3561.361519	126.1192661
log-sigma-1-0-mm-3D	gldm	GrayLevelVariance	1.053003244	0.352684959
log-sigma-1-0-mm-3D	gldm	HighGrayLevelEmphasis	27.94693701	9.21559633
log-sigma-1-0-mm-3D	gldm	LargeDependenceEmphasis	188.5765315	205.293578
log-sigma-1-0-mm-3D	gldm	LargeDependenceHighGrayLevelEmphasis	4964.483779	1845.958716
log-sigma-1-0-mm-3D	gldm	LargeDependenceLowGrayLevelEmphasis	7.77241175	23.35935143
log-sigma-1-0-mm-3D	gldm	LowGrayLevelEmphasis	0.042371499	0.143245413
log-sigma-1-0-mm-3D	gldm	SmallDependenceEmphasis	0.021034682	0.03979206
log-sigma-1-0-mm-3D	gldm	SmallDependenceHighGrayLevelEmphasis	0.688243318	0.481705972
log-sigma-1-0-mm-3D	gldm	SmallDependenceLowGrayLevelEmphasis	0.001019712	0.007502421
log-sigma-1-0-mm-3D	ngtdm	Busyness	18.37099889	1.063945105
log-sigma-1-0-mm-3D	ngtdm	Coarseness	0.000902994	0.048143278
log-sigma-1-0-mm-3D	ngtdm	Complexity	15.33176783	3.071190929
log-sigma-1-0-mm-3D	ngtdm	Contrast	0.012787799	0.011176698
log-sigma-1-0-mm-3D	ngtdm	Strength	0.027546082	0.340625992
log-sigma-2-0-mm-3D	firstorder	10Percentile	-45.4814579	-35.87756538
log-sigma-2-0-mm-3D	firstorder	90Percentile	24.50867043	-7.08343544
log-sigma-2-0-mm-3D	firstorder	Energy	946287951.5	17063707.28
log-sigma-2-0-mm-3D	firstorder	Entropy	2.200379473	1.066993666
log-sigma-2-0-mm-3D	firstorder	InterquartileRange	29.93945479	15.37634659
log-sigma-2-0-mm-3D	firstorder	Kurtosis	4.82350764	2.98567398
log-sigma-2-0-mm-3D	firstorder	Maximum	114.3881226	17.64658737
log-sigma-2-0-mm-3D	firstorder	MeanAbsoluteDeviation	21.91840074	8.803101261
log-sigma-2-0-mm-3D	firstorder	Mean	-15.83632686	-20.44194957
log-sigma-2-0-mm-3D	firstorder	Median	-21.43551731	-19.70283508
log-sigma-2-0-mm-3D	firstorder	Minimum	-99.53749084	-46.51049042
log-sigma-2-0-mm-3D	firstorder	Range	213.9256134	64.15707779
log-sigma-2-0-mm-3D	firstorder	RobustMeanAbsoluteDeviation	13.12999364	6.207014139
log-sigma-2-0-mm-3D	firstorder	RootMeanSquared	285.7392742	279.7747069
log-sigma-2-0-mm-3D	firstorder	Skewness	1.098673716	-0.03530348
log-sigma-2-0-mm-3D	firstorder	TotalEnergy	946287951.5	17063707.28
log-sigma-2-0-mm-3D	firstorder	Uniformity	0.279492213	0.531226328
log-sigma-2-0-mm-3D	firstorder	Variance	897.9396988	121.1830358
log-sigma-2-0-mm-3D	glcm	Autocorrelation	16.04218329	2.694069234
log-sigma-2-0-mm-3D	glcm	JointAverage	3.842533225	1.608074856
log-sigma-2-0-mm-3D	glcm	ClusterProminence	159.6902201	1.15696934
log-sigma-2-0-mm-3D	glcm	ClusterShade	15.73198497	-0.08144914
log-sigma-2-0-mm-3D	glcm	ClusterTendency	5.771437839	0.75128168
log-sigma-2-0-mm-3D	glcm	Contrast	0.662988806	0.321932881
log-sigma-2-0-mm-3D	glcm	Correlation	0.794562145	0.40153495
log-sigma-2-0-mm-3D	glcm	DifferenceAverage	0.523545826	0.319574774
log-sigma-2-0-mm-3D	glcm	DifferenceEntropy	1.253723597	0.884913653
log-sigma-2-0-mm-3D	glcm	DifferenceVariance	0.379591322	0.211777478
log-sigma-2-0-mm-3D	glcm	JointEnergy	0.125042467	0.295343771
log-sigma-2-0-mm-3D	glcm	JointEntropy	3.774203628	1.993109912
log-sigma-2-0-mm-3D	glcm	Imc1	-0.300494404	-0.147301861
log-sigma-2-0-mm-3D	glcm	Imc2	0.849818879	0.477406742
log-sigma-2-0-mm-3D	glcm	Idm	0.752160834	0.840448424
log-sigma-2-0-mm-3D	glcm	Idmn	0.99205975	0.967915548
log-sigma-2-0-mm-3D	glcm	Id	0.760130385	0.840605631
log-sigma-2-0-mm-3D	glcm	Idn	0.948888601	0.920224212
log-sigma-2-0-mm-3D	glcm	InverseVariance	0.414088099	0.317511431
log-sigma-2-0-mm-3D	glcm	MaximumProbability	0.244147011	0.418655414
log-sigma-2-0-mm-3D	glcm	SumEntropy	3.067799161	1.666615712
log-sigma-2-0-mm-3D	glcm	SumSquares	1.608606661	0.26830364
log-sigma-2-0-mm-3D	glrlm	GrayLevelNonUniformity	1440.555094	63.47301314
log-sigma-2-0-mm-3D	glrlm	GrayLevelNonUniformityNormalized	0.245163243	0.545956909
log-sigma-2-0-mm-3D	glrlm	GrayLevelVariance	1.719082618	0.265957973
log-sigma-2-0-mm-3D	glrlm	HighGrayLevelRunEmphasis	18.1245987	3.467883524
log-sigma-2-0-mm-3D	glrlm	LongRunEmphasis	6.918676373	5.395192783
log-sigma-2-0-mm-3D	glrlm	LongRunHighGrayLevelEmphasis	101.3804855	16.36100443
log-sigma-2-0-mm-3D	glrlm	LongRunLowGrayLevelEmphasis	0.66321267	2.723884961
log-sigma-2-0-mm-3D	glrlm	LowGrayLevelRunEmphasis	0.090838126	0.438577696
log-sigma-2-0-mm-3D	glrlm	RunEntropy	4.219257807	2.724967064
log-sigma-2-0-mm-3D	glrlm	RunLengthNonUniformity	2216.232058	42.03657978
log-sigma-2-0-mm-3D	glrlm	RunLengthNonUniformityNormalized	0.369402814	0.345182359
log-sigma-2-0-mm-3D	glrlm	RunPercentage	0.506265348	0.531404375
log-sigma-2-0-mm-3D	glrlm	RunVariance	2.775324451	1.26864622
log-sigma-2-0-mm-3D	glrlm	ShortRunEmphasis	0.620374236	0.56107475
log-sigma-2-0-mm-3D	glrlm	ShortRunHighGrayLevelEmphasis	12.14036609	2.189727849
log-sigma-2-0-mm-3D	glrlm	ShortRunLowGrayLevelEmphasis	0.052392812	0.205810925
log-sigma-2-0-mm-3D	glszm	GrayLevelNonUniformity	13.92537313	2.2
log-sigma-2-0-mm-3D	glszm	GrayLevelNonUniformityNormalized	0.20784139	0.44
log-sigma-2-0-mm-3D	glszm	GrayLevelVariance	3.70060147	0.64
log-sigma-2-0-mm-3D	glszm	HighGrayLevelZoneEmphasis	29	6.4
log-sigma-2-0-mm-3D	glszm	LargeAreaEmphasis	541091.6119	5045.6
log-sigma-2-0-mm-3D	glszm	LargeAreaHighGrayLevelEmphasis	7059098.791	17343.8
log-sigma-2-0-mm-3D	glszm	LargeAreaLowGrayLevelEmphasis	46789.93146	1975.05
log-sigma-2-0-mm-3D	glszm	LowGrayLevelZoneEmphasis	0.106938167	0.316666667
log-sigma-2-0-mm-3D	glszm	SizeZoneNonUniformity	7.597014925	1.4
log-sigma-2-0-mm-3D	glszm	SizeZoneNonUniformityNormalized	0.113388282	0.28
log-sigma-2-0-mm-3D	glszm	SmallAreaEmphasis	0.32790243	0.412551788
log-sigma-2-0-mm-3D	glszm	SmallAreaHighGrayLevelEmphasis	9.359972813	3.71258113
log-sigma-2-0-mm-3D	glszm	SmallAreaLowGrayLevelEmphasis	0.016795647	0.045877786
log-sigma-2-0-mm-3D	glszm	ZoneEntropy	5.135660886	1.921928095
log-sigma-2-0-mm-3D	glszm	ZonePercentage	0.005780846	0.02293578
log-sigma-2-0-mm-3D	glszm	ZoneVariance	511167.7759	3144.64
log-sigma-2-0-mm-3D	gldm	DependenceEntropy	6.416571113	5.009190119
log-sigma-2-0-mm-3D	gldm	DependenceNonUniformity	565.4072476	13.89908257
log-sigma-2-0-mm-3D	gldm	DependenceNonUniformityNormalized	0.048784059	0.063757259
log-sigma-2-0-mm-3D	gldm	DependenceVariance	32.6587098	24.34247959
log-sigma-2-0-mm-3D	gldm	GrayLevelNonUniformity	3239.314754	115.8073394
log-sigma-2-0-mm-3D	gldm	GrayLevelVariance	1.523354421	0.260521
log-sigma-2-0-mm-3D	gldm	HighGrayLevelEmphasis	16.46134599	3.188073394
log-sigma-2-0-mm-3D	gldm	LargeDependenceEmphasis	224.1240725	198.146789
log-sigma-2-0-mm-3D	gldm	LargeDependenceHighGrayLevelEmphasis	3105.319672	538.7293578
log-sigma-2-0-mm-3D	gldm	LargeDependenceLowGrayLevelEmphasis	22.31981323	113.3375382
log-sigma-2-0-mm-3D	gldm	LowGrayLevelEmphasis	0.0947004	0.483562691
log-sigma-2-0-mm-3D	gldm	SmallDependenceEmphasis	0.012643979	0.019029406
log-sigma-2-0-mm-3D	gldm	SmallDependenceHighGrayLevelEmphasis	0.278623761	0.122179855
log-sigma-2-0-mm-3D	gldm	SmallDependenceLowGrayLevelEmphasis	0.000944431	0.004709684
log-sigma-2-0-mm-3D	ngtdm	Busyness	23.15249582	6.064963405
log-sigma-2-0-mm-3D	ngtdm	Coarseness	0.001074162	0.033529998
log-sigma-2-0-mm-3D	ngtdm	Complexity	11.92093613	1.000830183
log-sigma-2-0-mm-3D	ngtdm	Contrast	0.013984458	0.025177249
log-sigma-2-0-mm-3D	ngtdm	Strength	0.044542339	0.095947061
log-sigma-3-0-mm-3D	firstorder	10Percentile	-47.50114441	-33.59144821
log-sigma-3-0-mm-3D	firstorder	90Percentile	17.26156311	-15.36247549
log-sigma-3-0-mm-3D	firstorder	Energy	914389058.6	16602366.91
log-sigma-3-0-mm-3D	firstorder	Entropy	2.048554717	0.996110784
log-sigma-3-0-mm-3D	firstorder	InterquartileRange	26.8007946	9.637741089
log-sigma-3-0-mm-3D	firstorder	Kurtosis	4.966666908	2.760718958
log-sigma-3-0-mm-3D	firstorder	Maximum	85.9183197	-4.000522137
log-sigma-3-0-mm-3D	firstorder	MeanAbsoluteDeviation	20.12385247	5.720932436
log-sigma-3-0-mm-3D	firstorder	Mean	-20.47988717	-24.12432834
log-sigma-3-0-mm-3D	firstorder	Median	-26.17439175	-24.10229301
log-sigma-3-0-mm-3D	firstorder	Minimum	-84.85216522	-38.79040527
log-sigma-3-0-mm-3D	firstorder	Range	170.7704849	34.78988314
log-sigma-3-0-mm-3D	firstorder	RobustMeanAbsoluteDeviation	11.95900891	4.027924831
log-sigma-3-0-mm-3D	firstorder	RootMeanSquared	280.8819247	275.9667486
log-sigma-3-0-mm-3D	firstorder	Skewness	1.277478714	0.217236798
log-sigma-3-0-mm-3D	firstorder	TotalEnergy	914389058.6	16602366.91
log-sigma-3-0-mm-3D	firstorder	Uniformity	0.313605686	0.502693376
log-sigma-3-0-mm-3D	firstorder	Variance	763.1621402	50.26014479
log-sigma-3-0-mm-3D	glcm	Autocorrelation	14.5124705	2.150960001
